signal,doa,ref_sp
-1.5112046,27.72806,2.2135996e-29
-0.37648124,-40.659138,2.2628175e-29
-0.855758,3.3758829,2.3135593e-29
-0.37585306,27.162767,2.3658588e-29
0.43122235,-38.186905,2.4197503e-29
-1.5062798,2.1614096,2.4752691e-29
-1.774583,31.821135,2.5324516e-29
0.019573107,-100.0,2.591336e-29
0.0,-8.777457,2.65196e-29
1.5654111,22.226614,2.7143644e-29
0.3215552,-41.66078,2.7785897e-29
0.36909756,-15.146593,2.8446783e-29
0.5871254,37.281265,2.912673e-29
-0.37686184,-100.0,2.982619e-29
1.1328044,-100.0,3.054562e-29
2.166704,-14.114058,3.1285492e-29
0.27315408,-20.80639,3.2046292e-29
-0.0011042772,1.1825083,3.2828514e-29
0.26836488,26.28753,3.3632677e-29
-0.63723713,-100.0,3.4459304e-29
0.5831203,-100.0,3.5308934e-29
1.0636047,-21.01567,3.618213e-29
-1.1857516,-39.492508,3.707946e-29
-1.3124788,-23.553963,3.8001508e-29
2.2971895,17.518076,3.894888e-29
-0.25137675,-100.0,3.9922193e-29
-1.7027339,-100.0,4.0922087e-29
0.3921459,-11.887413,4.1949213e-29
0.45334738,-100.0,4.300424e-29
0.0870617,-100.0,4.4087862e-29
0.40107238,-26.30855,4.520078e-29
-0.59137523,-100.0,4.6343724e-29
-0.35206452,-100.0,4.7517437e-29
0.3039334,-43.00699,4.8722687e-29
-0.1402062,-100.0,4.9960257e-29
0.8532142,-23.62543,5.123095e-29
0.27345595,0.57049406,5.253561e-29
-2.0160992,-100.0,5.387506e-29
0.15655677,-20.01587,5.5250194e-29
2.2030766,39.654133,5.66619e-29
0.0,-100.0,5.811109e-29
-0.61711025,-43.60972,5.959871e-29
0.06265269,-18.241596,6.112573e-29
-0.35183918,-100.0,6.2693136e-29
0.4550582,-100.0,6.430195e-29
1.3745519,34.79002,6.595322e-29
-1.3499628,-11.762461,6.7648006e-29
-1.5627847,16.102474,6.9387416e-29
1.7749064,38.945137,7.117257e-29
0.92057806,-100.0,7.300464e-29
-1.1766764,-30.056149,7.48848e-29
-0.21826217,11.342587,7.681427e-29
-0.013036432,-100.0,7.87943e-29
0.06461057,-23.524506,8.0826176e-29
0.7346556,13.0911665,8.2911206e-29
-0.24037492,-30.4926,8.505074e-29
1.9823995,-0.9571432,8.724616e-29
0.42376694,39.8992,8.949889e-29
0.6304354,-100.0,9.181038e-29
1.9249763,-27.617025,9.418212e-29
0.19642775,12.053085,9.661565e-29
0.8038979,-100.0,9.911253e-29
1.75604,-100.0,1.0167438e-28
-0.03807163,15.929595,1.0430284e-28
0.9333548,-100.0,1.0699961e-28
1.4853952,-100.0,1.0976643e-28
-0.266049,10.240032,1.1260507e-28
1.0104121,-100.0,1.1551737e-28
1.1287485,-100.0,1.185052e-28
-0.4744503,1.5587858,1.2157048e-28
1.0296204,-32.726906,1.2471518e-28
0.70679545,2.4674344,1.2794132e-28
0.0,35.225773,1.3125097e-28
0.73694986,-100.0,1.3464626e-28
-1.0832065,-100.0,1.3812938e-28
0.0100675635,-2.4821136,1.4170255e-28
0.34576884,-100.0,1.4536806e-28
-1.3647794,-31.635326,1.4912826e-28
0.018368566,-16.26718,1.5298557e-28
-0.06784059,-17.369055,1.5694245e-28
-1.5657748,-1.637088,1.6100145e-28
0.023307405,18.633936,1.6516514e-28
-0.47994217,-100.0,1.694362e-28
-1.6750635,-100.0,1.7381738e-28
0.023616502,7.08111,1.7831144e-28
-0.86654705,-100.0,1.8292129e-28
-1.6868964,-12.184755,1.8764985e-28
0.01848663,16.946966,1.9250015e-28
2.361526,-100.0,1.9747529e-28
0.2922837,16.663609,2.0257844e-28
-0.9362414,44.01953,2.0781282e-28
1.1694427,-100.0,2.131818e-28
0.5011353,-34.817444,2.1868884e-28
-2.1261117,7.2521377,2.2433738e-28
-0.8149238,-100.0,2.3013105e-28
0.78205764,-100.0,2.3607354e-28
-1.2835308,-35.323715,2.421686e-28
